l,time
24,5.12244
347,5.48383
110,6.09437
38,5.54706
16,5.25908
270,5.10786
170,5.07393
118,5.46113
151,5.06239
151,4.93438
199,5.0202
271,5.8961
456,5.37602
144,5.48725
116,5.41267
200,5.05392
47,5.09077
126,4.98217
273,5.28
36,5.20065
16,5.42923
204,4.98307
431,6.26425
19,5.01232
236,6.28778
379,5.26003
346,5.12191
496,6.17344
141,5.03006
148,4.98403
204,5.3501
384,5.52595
75,5.28094
494,5.35514
140,4.98259
490,6.32966
282,5.72853
49,4.9732
28,5.17587
151,5.02872
141,5.56793
67,5.01452
191,5.07683
78,5.20885
299,5.23531
23,4.879
170,5.57504
123,5.00881
156,4.98158
491,6.36272
58,5.26683
191,5.05869
159,5.04759
482,5.67343
267,6.66109
427,5.34702
8,4.98236
370,5.66221
218,5.16343
199,5.08442
297,5.2609
372,5.53335
357,5.4704
404,5.22246
485,5.57706
451,6.20222
162,5.09087
463,5.18778
72,5.52526
294,5.08019
329,6.10629
20,4.94771
65,5.22063
395,5.36023
192,5.06167
477,5.4922
297,5.36289
382,5.20749
131,5.04876
185,5.497
95,4.96625
445,5.35672
298,5.20692
118,5.22162
277,5.88779
399,5.28225
259,4.9904
391,5.69494
97,5.01808
311,5.18522
167,6.1419
414,5.1749
300,6.3165
295,5.16587
26,4.96326
457,5.53843
262,5.57074
433,5.34908
53,5.12694
7,4.91538
10,5.5193
212,5.06566
18,4.88424
158,5.36672
294,5.52661
312,5.24801
356,5.3377
378,5.60706
179,5.06917
355,5.47985
161,5.06924
185,6.87404
140,5.06539
462,5.22502
122,5.09342
128,5.34488
168,5.0808
69,5.06492
330,5.4516
323,5.6755
73,5.02936
492,5.35394
339,5.72947
430,5.2162
74,4.93425
315,6.45784
487,5.7097
120,6.49952
138,5.03186
328,5.33857
160,5.26871
435,5.24523
9,4.87611
11,5.34183
397,5.17793
95,5.04898
390,5.38987
82,5.28078
307,5.24886
59,5.04127
133,4.98539
50,6.32617
292,5.25829
441,5.1253
346,6.29885
398,5.24024
272,6.01601
296,5.14264
488,5.68588
106,5.24554
25,5.06643
28,4.86198
268,5.57557
388,5.2726
488,5.46538
493,5.60814
254,5.06373
468,5.50694
242,5.13992
296,5.40958
455,5.37451
140,5.16355
11,4.8782
374,6.42345
335,5.29878
82,5.2217
474,5.34796
151,4.95998
2,5.01404
341,5.20001
160,5.33417
62,5.04201
83,4.99861
410,5.28931
32,5.74324
298,5.69944
123,5.29748
461,5.40062
221,5.58857
32,4.94062
333,5.72126
157,4.97874
31,5.4755
328,5.51699
420,5.31664
42,5.50649
341,5.21914
422,5.13668
188,5.01667
240,5.35935
237,5.43526
416,5.64503
224,4.98053
505,5.72738
327,5.16405
459,5.17363
107,5.279
498,5.34529
393,5.21605
502,5.4703
199,5.67061
491,5.51648
39,5.12656
69,4.88445
309,5.69533
437,5.2789
255,5.01565
233,5.34691
148,5.58537
334,5.13072
260,5.71332
247,5.42243
51,5.25585
503,5.46385
146,5.08149
144,5.46486
380,5.21946
172,5.07202
130,5.2106
331,5.54504
470,6.02441
451,5.33706
133,4.98076
379,5.76387
91,5.63075
484,5.40727
388,5.53237
475,5.29854
147,5.20913
159,5.12829
390,5.498
436,6.68992
304,5.1729
93,5.40406
405,5.46503
34,5.02686
78,5.00498
241,5.38173
396,5.20133
108,5.26061
62,5.09345
287,5.44355
141,5.91202
177,5.13696
347,5.14714
325,6.20998
64,5.1084
47,5.10727
95,5.28385
249,5.04358
9,5.06381
195,5.10048
34,5.29543
329,5.28162
352,5.25979
312,5.13016
276,5.33126
39,4.96076
288,5.14815
12,4.99371
186,5.47447
380,5.95639
145,5.10403
108,4.91132
285,6.4104
360,5.2114
376,5.09122
280,5.81365
169,5.02825
401,5.13296
467,5.4778
3,5.27985
